,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
V1,0.09238001829734178,0.7492407502434836,0.8032172726523719,1.0,0.5960195496019929
V2,0.11294102797552527,0.6860583076599542,0.7807887771888206,0.7037296646554614,0.4336221537451619
V3,-0.16923069213290243,0.37654522354217196,0.48320669176288433,0.6737299502161276,0.43340680273474946
V4,0.11834281022627445,0.6736641965180232,0.4982841804848888,0.5913061528934715,0.5410856628305816
V5,0.13273679602346455,0.3405431335482608,0.3973452934839281,0.549219199198161,0.5175868374402002
V6,-0.07963762241036916,0.4196303602806843,0.2929246506659508,0.4880672394359997,0.60339906722334
V7,-0.06920763890341305,0.3132416569446232,0.3995164674955701,0.459218923422424,0.5308930996830014
V8,-0.4005535738797185,0.36722412446012537,0.2846821883770863,0.44051554971997664,0.7621541766718848
V9,-0.34534649415836477,0.3758672635340633,0.40495184450589794,0.3841142515969034,0.4906633389566243
V10,-0.18711019915041704,0.2717071560033685,0.5271418977357324,0.3646794973249691,0.5053197440387545
V11,-0.04465564190976261,0.28323546728448595,0.31782197008697866,0.35428949239102725,0.5660070964909112
V12,0.20873599501991175,0.2781461482887395,0.3137467333861647,0.33255980219634557,0.5960077056448383
V13,0.0025101904570022787,0.20928652843965384,0.35730936518613904,0.3197353012441913,0.662715227164612
V14,0.06362665671613876,0.20412172593217232,0.33528469789224813,0.2905061896053303,0.6452808765990301
V15,-0.012055247492063326,0.08373949352890747,0.3804994703932001,0.27934436608919844,0.4651175830212007
V16,0.029946040946538285,0.18828306494508967,0.4677924802225325,0.25651881340185906,0.7527923473328424
V17,-0.12793645500906328,0.054775336952922506,0.23802368516210484,0.2455759904089445,0.4006007579201337
V18,0.1388055708097704,0.12920855124362368,0.2621087718760464,0.2362602411645319,0.553540436740303
V19,-0.06990953984855781,0.09891252919963606,0.3773221761346045,0.2167945581152346,0.6047297784415562
V20,0.2010542290777112,0.15120610820130304,0.35214816005887173,0.20477515067476326,0.5992103673538698
V21,-0.06038417356879042,0.1616587462634377,0.3313372542613158,0.1964168540452791,0.45278591091344855
V22,-0.004859397452360498,0.110185120620039,0.3569416807713275,0.19111386714326933,0.5156351208638272
V23,-0.09945111690418977,0.06008692682136723,0.20939427000269997,0.18314602874991917,0.5983944042043736
V24,-0.1928312314769585,0.05093261928402748,0.37105243572405355,0.17491275473627121,0.6347623495141012
V25,0.12487576782446705,0.10023544290924931,0.10477483401918322,0.15976647841684685,0.4682552518253195
V26,0.05540853280709561,0.022262169162996316,0.2089056175816216,0.1540210954856345,0.5177247404341186
V27,0.23674406447531757,0.03177769596661657,0.2593723107224736,0.14430038576718252,0.44524897484301046
V28,0.2259009160043476,-0.0017653060882199699,0.10680255321233695,0.14048899696851233,0.5028327223414142
V29,-0.19450534759000906,0.012953794858305155,0.14144453464948376,0.13768927477374626,0.5042921931958937
V30,-0.14838299022311002,0.021280654864758775,0.12357779813606365,0.1303493543648773,0.5008434762931414
V31,0.26296975128492783,0.03343126907163076,0.18069117844167962,0.12512018840213118,0.30879605403826416
V32,0.08913481302896947,-0.018636651740988375,0.21482327685547636,0.117172078245241,0.6603689022985585
V33,-0.06205976646209724,0.03507917765646404,0.2307241075369356,0.11277197303887823,0.4390764408931953
V34,-0.15003518483328118,0.0421292604633094,0.16821959152084218,0.10773619978629444,0.538504413425881
V35,-0.2575834411538489,0.0053888343658631275,0.19129700266335561,0.09901082725687917,0.5718819111284581
V36,-0.005697241331051428,0.04285254247684475,0.3128109273416577,0.09714070955607518,0.5386088446551204
V37,-0.1799865013974013,0.03425366496963748,0.2995388987781705,0.09422455236136915,0.5838217946103098
V38,-0.07356119341875682,0.05190840356081901,0.2851940490169307,0.0920017982909576,0.4139640161891837
V39,-0.0888962964981429,-0.025158968696967852,0.11312859419505207,0.08721717253780872,0.5762098183052858
V40,0.18828444182275236,-0.004482815023819753,0.25892731152532134,0.08601778821267793,0.6261084443156797
V41,-0.06987086937220402,-0.013079136764194737,0.154317214631397,0.08540696305632937,0.6412609205246868
V42,0.10021640293339276,-0.020292788648306047,0.14620875972193803,0.08033355760412059,0.6054689093122044
V43,-0.0011688474291381354,-0.00276533971252736,0.20451616656072077,0.07765731978713379,0.6332558056375254
V44,0.07692106479680111,-0.0158955918133677,0.21608949424656027,0.07513663298432452,0.4849334903966698
V45,-0.031216511194328306,-0.01352128442617924,0.12404740775557531,0.06914940834102579,0.5858825989631907
V46,0.06895786754089415,0.021753409392954268,0.25853224230210425,0.06567208494489886,0.42620952353652797
V47,-0.09340634915924996,0.009952156044899688,0.11177184053970324,0.0648076035219592,0.5223094794205161
V48,0.3356545683908649,0.06198245721646322,0.2527815329049957,0.06441205742272277,0.46127562616675877
V49,0.18389628229982602,0.07837265224765354,0.20075876372954987,0.06335379390225795,0.6598467522036099
V50,0.12378883885323891,-0.0386776973563148,0.16603220402377655,0.06161280537507359,0.44672612757780117
V51,8.192150190886468e-16,0.01323759430779611,0.34587627247545094,0.05855866649019307,0.43569885728390534
V52,-0.04368978267767789,0.015753746754176116,0.26368835187872686,0.05717126905165714,0.6544011598940619
V53,0.17280218199880665,0.005308327710646282,0.0887621318475719,0.05595458994357191,0.342084470964856
V54,0.0032427855787595106,-0.013355159582081017,0.17715145791719597,0.053559803963128,0.46130182600601244
V55,0.3654375994418379,-0.013355159582081017,0.17292843176984085,0.05291781626478601,0.5756777672495027
V56,0.21329410268737461,-0.009901040708254111,0.2173042699569849,0.0508399721791678,0.5229591029528008
V57,0.026581106290119005,-0.016034881105726977,0.1061528395430965,0.04975233300694802,0.544116074020953
V58,0.05225697752114061,0.026921232263601533,0.1755254198273902,0.047637661264212296,0.6771646425164604
V59,-0.13115723113193598,-0.0193816577725981,0.11876781234698125,0.045050282131260506,0.3806392754304442
V60,-0.07505224939517433,-0.00035908523993540627,0.20073161544311888,0.04397926564807859,0.6247505643372796
V61,-0.15525538537991798,0.005418225684434344,0.25365618262267237,0.042096258569553575,0.5491476191173178
V62,0.08442572000529429,-0.01953294670191382,0.10313705522845872,0.036213511163476174,0.5843910293993686
V63,-0.003481901199023675,-0.011862591752029288,0.11129515147217424,0.03434710772328797,0.5022099846573053
V64,-0.0888778216506675,-0.01581508515815086,0.15115888716813003,0.033234401860730296,0.40374921915506673
V65,-0.07136025571234096,-0.016423357664233584,0.07678901143435607,0.03172900116303881,0.5254702671617061
V66,-0.20340842159762496,0.03452336070621946,0.11020283015267048,0.031193000444324846,0.612199048339524
V67,0.0002483844468611895,0.022443528773446346,0.08933076824296382,0.030169501923125046,0.4693839085824303
V68,0.146402492590687,-0.017141528144104363,0.10714692409796478,0.028811181227563883,0.4029835435532326
V69,-0.3264073268035028,-0.020292788648306047,0.08137466795074134,0.026789145203474394,0.5414450268572901
V70,0.12477276244097403,-0.006165787482876371,0.10560353604498755,0.022859598090276448,0.5357919496977648
V71,-0.37662877892680036,-0.02015605512277905,0.09879434165485315,0.022244441505659664,0.43883427971415356
V72,0.15150230932581868,-0.008818673454783389,0.034389059708756546,0.021554079819657353,0.6139566793872191
V73,-0.07028426317095304,-0.019022572532662707,0.1957992018506655,0.019579607567986386,0.522838000837082
V74,-0.16215858553002893,-0.013325768263509789,0.05750023560909789,0.016802547655878408,0.3398630447385858
V75,-0.025910825903281635,-0.011557177615571785,0.055754178844914036,0.01612565128340164,0.6396555415764201
V76,-0.24531723985869897,-0.014073330061951795,0.025555989635757337,0.015617982182360157,0.769248759972115
V77,0.016817506083980818,-0.014598540145985408,0.0359760962432006,0.014767564295321585,0.4745137899980173
V78,0.022666915155516117,-0.027592058721298753,0.02114994501209037,0.014016409862046435,0.6701947015319307
