feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
V30,0.028049666683409982,178396985734.63345,0.012426666666666666,0.4009721831655718,0.3790435696665774
V6,0.013849560834190165,0.0013402303059895833,0.012453333333333334,0.21626388303280683,0.19296529905015847
V4,0.012602363838970386,-134132079012.29443,0.00808,0.03003176528593144,0.8055253765865859
V60,0.006429538312189077,9570543250.467049,0.005706666666666667,0.0970837674653716,0.25593853033397806
V98,0.005117765946538917,-258107024806.26212,0.005333333333333333,0.020925923597606613,0.8828240193732261
V107,0.004667710586822089,-0.0025533040364583335,0.0077066666666666655,0.005001975890877317,0.3151549961423973
V89,0.004349032292965698,0.0004628499348958333,0.00776,0.04066609253993258,0.625325053539152
V79,0.003859242872665533,-88506134039.26013,0.006959999999999999,0.012934321803890928,0.0703881296102441
V59,0.003838223399036354,0.0013478597005208333,0.005546666666666667,0.015916417152300334,0.7013140215747126
V117,0.002774095551748821,-637687036270.0216,0.0015199999999999999,0.02630472167735488,0.7657082196342848
V69,0.0025679989289757793,-345431461474.28125,0.002026666666666667,0.04120242851352809,0.8010199490108841
V97,0.001957960968700774,0.00014241536458333334,0.0012533333333333333,0.015327396956242044,0.6652423547735437
V105,0.001955929304527233,132462471128.88957,0.003733333333333333,0.013809952759261902,0.44301216999828785
V67,0.0014246804778608874,0.0011544227600097656,0.0008,0.016284523189161036,0.8897673251634665
V10,0.0011661757955635486,120883978485.03996,0.0010133333333333335,0.020581827919634085,0.8986630442700426
V92,0.0010799955729537004,0.00012715657552083334,0.0012000000000000001,0.0043942364161228195,0.41518460024974024
V43,0.0008313621666729556,-826971401303.0033,0.0008533333333333333,0.0017622209058610055,0.6130392423505268
V68,0.0008143423989368259,-379580011463.7597,0.0006933333333333333,0.005715763630079395,0.07995680323287202
V61,0.0006080454545310138,-205534801960.12943,0.00176,0.0022165045451913723,0.3663540200942962
V47,0.000599412533992041,6.612141927083333e-05,0.00024000000000000003,0.0001010243568216953,0.5232005391932355
V91,0.0005976429044330774,-6.612141927083333e-05,0.0009066666666666665,4.4528434565852424e-05,0.7491943579773724
V115,0.0004808445212846263,0.00057220458984375,0.0002933333333333334,0.0033926089977418827,0.5631447028042841
V110,0.00041645960279917396,0.0006586710611979166,0.00048000000000000007,7.868184119717995e-05,0.37171951243537127
V33,0.0002619781425388147,-810789674778.0739,0.00018666666666666666,0.0044637712592915536,0.8568292883342146
V84,0.0001496313878539878,79804385344.57875,0.00016000000000000004,0.002261739331827922,0.7251719328091889
V35,0.00012932298891958638,-12321304258.814232,0.00013333333333333334,0.002261739331827922,0.23878655821602113
