,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
gender,0.989166237435619,1.0,0.5798831015698309,1.0,0.5428583220854591
ssc_p,0.5271715510383035,0.47503501895066835,0.38987077373215684,0.6604621389182883,0.8894507690826378
ssc_b,0.3249549092189662,0.4076370485898865,0.3513237841411832,0.5425833712868999,0.6873826195686086
hsc_p,0.24751889246626915,0.27457541863264867,0.4337832995512937,0.367182150886796,0.733671811047456
hsc_b,0.14038471534580924,0.15431957795143672,0.3415573080165087,0.2473466797043296,0.6111252628356105
hsc_s,0.05775971385761308,0.08812225162039533,0.4609269072619216,0.21513550455862332,0.5539817833660792
degree_p,0.05930818846908541,0.0429537240127474,0.37217252959953195,0.1574898954295597,0.6758226804388483
degree_t,0.04041036342044052,0.043466952691247916,0.355153427751749,0.14043833444476841,0.5273927701030254
workex,0.04583578195501252,0.015478585112205788,0.17640116364903327,0.09346052373863052,0.5295037021697516
etest_p,-0.01634867913773052,0.024958264915161454,0.0806259678569454,0.0778383849410806,0.5403840826116746
specialisation,0.01605778415110372,-0.005878261266192312,0.08730490746173014,0.03393134504011518,0.4182852426721157
mba_p,0.024959000234314882,0.0041666666666666675,0.022513999165146854,0.014268017471602529,0.7284158796612807
