feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,0.11550818162072285,0.03672877846790892,0.11304347826086955,0.24402005820697542,0.03357627575428079
degree_p,0.11057828260895058,0.04466528640441686,0.07577639751552794,0.21822432040614287,0.4022653508109063
hsc_p,0.1057919486725413,0.03783298826777087,0.09192546583850933,0.2309784090797706,0.7032862668649287
specialisation,0.033527374008646776,0.00545203588681852,0.011180124223602483,0.03332497659916784,0.05644403502446094
workex,0.031877475856310386,0.004168391994478927,0.017391304347826087,0.03895614434776222,0.2172692101775534
mba_p,0.029122319091161565,0.006038647342995172,0.02981366459627329,0.10770957205105562,0.5038958489409345
etest_p,0.012147440710979318,0.00022774327122152533,0.006211180124223602,0.055089834514223494,0.8637302426700564
gender,0.01019182152180476,0.001359558316080066,0.0,0.01308080504968508,0.10089671309250703
ssc_b,0.007986196033938568,0.005100069013112496,0.0024844720496894407,0.01773874688060198,0.5977848967315527
hsc_s,0.007701324411665297,0.002443064182194641,0.0037267080745341614,0.014828315830798494,0.7405410784798616
degree_t,0.00437581680699918,0.00305037957211868,0.0,0.01622674708111273,0.23433927848756164
hsc_b,0.004031594471593582,0.0016632160110420836,0.0037267080745341614,0.009822069952703679,0.0486763212437491
