feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
ssc_p,1.385485091001614,0.026839242692210802,0.16024844720496895,0.1525615729709177,0.6905002609185255
hsc_p,0.8028342794270157,0.03186509253099271,0.059627329192546576,0.09431223991741089,0.774972301807091
mba_p,0.7069382240135635,-0.0056846511382840975,0.027329192546583846,0.1470751009739188,0.6622267997143491
degree_p,0.6648371079698115,0.023259752457096803,0.03850931677018633,0.1169561471570717,0.7358372712686814
workex,0.38559925533846423,0.007159853139697879,0.0012422360248447173,0.8649288938757642,0.1380824857852102
degree_t,0.3463467718083998,0.0016431531193337459,0.006211180124223595,0.6751131502515815,0.06228128601443195
hsc_s,0.3076563003632888,0.026839242692210805,0.00745341614906832,0.5394182198130958,0.8728177089123204
specialisation,0.3073771163397381,0.005967033314076089,0.006211180124223595,0.6216855674658514,0.3250495344260548
gender,0.2430517810140472,-0.004567587647535254,-0.004968944099378892,0.5357266339851291,0.15143125811934544
etest_p,0.20805832216274875,0.00014496496696032654,0.004968944099378878,0.01843699457564707,0.2073417049712447
ssc_b,0.10560641202845213,-0.003153300268909115,-0.001242236024844723,0.2116128483448908,0.41037740932270506
hsc_b,0.007792145275653166,0.0029593272818523946,0.0,0.016665032812723246,0.9205209498972107
