,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
MinTemp,-0.16050995991578082,1.0,1.0,1.0,0.6481518924082825
MaxTemp,0.20532028791016083,0.30485870800067966,0.4988113088705636,0.4228148811113378,0.5673851532188199
Rainfall,0.09259002844866789,0.17243113533368623,0.4216135498905165,0.31378174022502786,0.5857084315195289
WindGustSpeed,-0.26305554200345593,0.130538311857621,0.21725196647164075,0.2130731722176767,0.6256907277667102
WindSpeed9am,0.2961811938450055,0.08995309863538137,0.17844042649972675,0.1690358078180262,0.3913016301766324
WindSpeed3pm,0.09789501204014604,0.06137168565208498,0.1687114699861897,0.14418935812815184,0.607268448392766
Humidity9am,0.17739569393557453,0.05430531044513283,0.1337030514105843,0.12546778919497018,0.5363256948981121
Humidity3pm,-0.14614121843946454,0.06253908408520016,0.14001934202541677,0.11232185072552126,0.7086325672019459
Pressure9am,-0.1500217438003536,0.04709377791141768,0.12978123664647218,0.10111380753971017,0.7277376952656103
Pressure3pm,0.21730253101881933,0.03921208155116228,0.10354122464557125,0.08295185750088695,0.4767963141328254
Temp9am,0.4578553262642915,0.032201103049914644,0.11046328687238019,0.07657837752624203,0.7917170053030526
Temp3pm,-0.028772385905100818,0.03738286430720739,0.09025623586174616,0.07039735846736665,0.5951421031830206
RainToday,-0.022835352530476596,0.02986848510705143,0.11116747579398134,0.06384716162368932,0.6682261553390699
WindGustDir_E,0.35831417810759786,0.02264187516610638,0.0821269777890382,0.05649586501146861,0.4243357536760811
WindGustDir_ENE,-0.00982336233274552,0.017647175708077376,0.058656481143364365,0.05041450408350664,0.5216526906757739
WindGustDir_ESE,-0.17103993477109966,0.014265023784061383,0.057731182877054255,0.04351907485030907,0.4984914093371111
WindGustDir_N,0.1828421242445154,0.016216786597678716,0.056065587995938006,0.040682478177716384,0.47271823976448923
WindGustDir_NE,0.11661999768986028,0.010436977254702886,0.05027393614317866,0.03744473578421196,0.6333857185900977
WindGustDir_NNE,0.1383113827945185,0.006379523940738039,0.041514361792506685,0.03521288231955254,0.4780100364116905
WindGustDir_NNW,-0.1503114141876591,0.015138028174236727,0.04674376014966411,0.03303577068347262,0.6016860359227714
WindGustDir_NW,0.08377556506124406,0.006831705047559554,0.03647483620486393,0.029877151172717012,0.46627697766706583
WindGustDir_S,0.3055456148774126,0.009849100099822101,0.043312394152263685,0.028866234436890223,0.4708644648339346
WindGustDir_SE,0.0407695107682138,0.006576753712302733,0.032724629534202646,0.026293869981681435,0.6202933367232002
WindGustDir_SSE,-0.04518824020784291,0.0028296993586963757,0.03684163127936855,0.024858430081809716,0.6849671312442046
WindGustDir_SSW,-0.05792387561298997,0.00996808219465902,0.03478720349396469,0.023762863933773113,0.6231588370274431
WindGustDir_SW,-0.09258951750890212,0.008070517960909943,0.04531013992104306,0.02246004049906102,0.7366063392114481
WindGustDir_W,0.20759202598608814,0.009939785471326647,0.03404609970319321,0.02184055706655398,0.47758185432515143
WindGustDir_WNW,0.24450442332431963,0.003763461874583049,0.029773890355794783,0.020622601551334004,0.756733785388505
WindGustDir_WSW,0.22394032038023573,0.00798921697996242,0.025859413335862336,0.019564883249833777,0.7869556620045539
WindDir3pm_E,-0.20507009039316257,0.009090092724007199,0.026311142365886313,0.01862587622159706,0.7258170703616023
WindDir3pm_ENE,-0.22175233051042176,0.00686879162779761,0.022477342570966063,0.01731441738591289,0.5289808991690004
WindDir3pm_ESE,-0.04792428056807746,0.006396146886083646,0.0315981055455491,0.01602868196141075,0.6161313325642689
WindDir3pm_N,-0.18722196433543048,0.00814708252063022,0.023497295004003292,0.015704005363218455,0.5294864366818584
WindDir3pm_NE,0.4498073245310349,0.0034411160661351964,0.034370104609230435,0.014863538319807874,0.763957688485003
WindDir3pm_NNE,-0.43773166509751077,0.005111667078703712,0.010898767456593905,0.014706608614351187,0.524680781593325
WindDir3pm_NNW,-0.0349906233977977,0.0039111312692660365,0.030018077401025862,0.014290820926029318,0.5624091573506718
WindDir3pm_NW,0.052517266096521284,-0.0002360480610150606,0.01897598318870032,0.013431049094473482,0.4669621723281018
WindDir3pm_S,-0.1737130359052716,1.0000753343915813e-05,0.021952463679426684,0.01287408679567459,0.5946663757913253
WindDir3pm_SE,-0.3137487257088434,0.0014316500961663549,0.016737080031919198,0.012604211760140649,0.6257573405852217
WindDir3pm_SSE,0.23195089934447252,0.0031369669198372217,0.014683283549281376,0.012270826341005538,0.66622309376793
WindDir3pm_SSW,-0.1504171536820398,0.004490470057728964,0.02181794211425309,0.011862300293916337,0.7287507553646427
WindDir3pm_SW,0.19725229456380075,-0.0012448508063422723,0.016322796813510242,0.011127618341061577,0.6608610465525487
WindDir3pm_W,0.040637051997919456,0.0036315838468579656,0.022011891237505795,0.01082728677187002,0.5681811616629818
WindDir3pm_WNW,-0.15991385875615202,0.0029891153206514976,0.01807411585426404,0.010177105536104042,0.5789313318601025
WindDir3pm_WSW,0.4093571460804575,0.0007145833912385615,0.013448204439048416,0.009916348677236076,0.5963424138051261
WindDir9am_E,0.09321361833213096,0.0015853504129886248,0.02561038201742008,0.0096323623515345,0.3904060456728276
WindDir9am_ENE,0.2988183394794377,0.004438279307191739,0.015369504472470616,0.00864006151630913,0.6700358279785259
WindDir9am_ESE,0.07982193951642523,0.005252648030401898,0.013334228053560453,0.008013149416585418,0.49708261325818437
WindDir9am_N,0.27175918802091226,0.0013507408628357666,0.012509367370799714,0.007536839620395953,0.6327183052072651
WindDir9am_NE,-0.1913343691971896,0.002347163268846436,0.013821854271235412,0.006919453652252369,0.5063269933216152
WindDir9am_NNE,0.08781834042417261,0.0010603323852085703,0.009746825704628368,0.006310478446065042,0.6330146011811638
WindDir9am_NNW,-0.02122917793306156,-0.0011713593738016605,0.009841846836728722,0.00565247133333914,0.6516861955426002
WindDir9am_NW,-0.2352564766057717,0.0012771385637105268,0.008932138213959724,0.005429303333474892,0.6257805505052001
WindDir9am_S,-0.43847016943191064,0.0005412662629874399,0.008241741672190966,0.0049431833106891795,0.5363381373377746
WindDir9am_SE,0.15200242199183783,-0.001179987566983602,0.007805946104163412,0.0046749848578560155,0.4392374966608682
WindDir9am_SSE,0.06467452972277213,0.0023845555277631127,0.010511693196935066,0.004099654201259947,0.5436821558027538
WindDir9am_SSW,0.0034791706871773465,0.0012729972159288515,0.007672592754505762,0.0038914984181938807,0.6430515717522988
WindDir9am_SW,0.23028893866610745,0.00019900535282091174,0.007617017849110761,0.0031794080012409656,0.5960725094429424
WindDir9am_W,-0.3839190355811079,0.001373844255938733,0.004527776920836629,0.0026229068893824374,0.6886428981710659
WindDir9am_WNW,-0.30260195839760323,0.0013905069029709924,0.0033513368263885343,0.0018549713345493938,0.7662046678536465
WindDir9am_WSW,-0.23239490541520952,0.00024014858676895174,0.0021847085747778933,0.0011224951667690214,0.5150548618805816
