feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Humidity3pm,0.20042356993345797,0.04109396403929389,0.2830769230769231,0.39176811198511613,0.4462731124056162
Pressure3pm,0.10824411989329469,1731123836853.23,0.20590436590436592,0.09931443890309381,0.285576877698158
WindGustSpeed,0.04590796155974076,0.0002398659255489266,0.07983367983367984,0.07167876180332389,0.3869873800392635
Pressure9am,0.04415566818313605,4066507623070.9165,0.10777546777546779,0.05862169001511462,0.9963651121547608
Humidity9am,0.023793372892435022,4066507623070.9536,0.0558004158004158,0.04285612551988606,0.26028977113990337
MinTemp,0.014199879665610062,125724198970.93742,0.022536382536382536,0.03562256440141717,0.11344861258501804
Temp9am,0.013324851863563164,4454472685213.394,0.043825363825363825,0.026933575383033526,0.9164789095418814
MaxTemp,0.012479934766563354,-1503481289449.8481,0.020291060291060294,0.029885133227442105,0.7356748594794277
Temp3pm,0.012087886421008628,1758967734900.2502,0.03284823284823285,0.023120952896525968,0.4912001952542241
WindSpeed3pm,0.010186742866058474,-3080824022571.419,0.0162993762993763,0.03399281562916744,0.2617766765874958
WindGustDir_NNE,0.010101396016183489,469213719127.4067,0.012141372141372142,0.015300033978593986,0.6819292602506372
WindSpeed9am,0.00901559939972201,-0.0025452201937187216,0.017297297297297298,0.01957716149270872,0.5616727107596471
WindDir3pm_SSE,0.006663363030175716,2667592505807.8096,0.008814968814968816,0.011736451906046155,0.5516469339264275
WindDir3pm_NE,0.006202449725881128,0.0036828478186799354,0.006237006237006237,0.00980964298733852,0.13887687203836574
Rainfall,0.0057452665933802795,294545198694.9462,0.009313929313929315,0.017031981712287408,0.4990439602564668
WindDir3pm_ESE,0.004365233405068093,-317223154251.03125,0.0071517671517671525,0.007166619138518649,0.12136245507845689
WindGustDir_NE,0.004254798654542524,4233972631015.293,0.006320166320166321,0.0030752563683200222,0.08779074110473106
WindGustDir_W,0.0036226872475301746,0.0015824736720890346,0.004074844074844075,0.0061457524660412195,0.7118091040072126
WindDir3pm_NNE,0.0034019624203110335,4454472685213.396,0.0036590436590436593,0.004987317033581279,0.7903730608077492
WindDir3pm_WSW,0.002969676487534361,-594769195242.6362,0.002993762993762994,0.007391252955082738,0.7188696598907195
WindDir9am_NW,0.0027428821797138717,301819639028.97174,0.005322245322245322,0.003709030125341753,0.680108990649581
WindDir3pm_SW,0.002659809278631707,94584885008.06288,0.002577962577962578,0.005618690029203167,0.08621548165193271
WindDir9am_WNW,0.0026077769488672626,-1310617887402.269,0.004407484407484408,0.002999600590984448,0.43261828648197487
WindDir9am_ESE,0.002295439128875186,908712094207.2152,0.0028274428274428277,0.003759945921153834,0.8233393995083906
WindDir9am_ENE,0.002195369934207581,-0.0018989684065068417,0.002661122661122661,0.0032225743675061043,0.769164550374698
WindDir3pm_S,0.002087164788473804,8.272021467738136e-05,0.0013305613305613305,0.0051576325565687265,0.3689111655012207
WindGustDir_SE,0.0020687055638190046,2879163778050.0527,0.0031600831600831604,0.002286160587438838,0.06493907831607115
WindGustDir_ESE,0.0018416751050059973,2667592505807.811,0.0018295218295218297,0.0025661938534278905,0.8986790307862303
WindDir3pm_WNW,0.001797275725402021,-0.0024168688810087074,0.002494802494802495,0.0044876464647977034,0.9995950439343869
