feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Humidity3pm,0.1035844388439607,2297774619200.2344,0.14943866943866943,0.21805580976419753,0.5776870378935964
Pressure3pm,0.03731711329306268,0.00870360519648969,0.028024948024948027,0.07441142729743827,0.7631213751386285
Humidity9am,0.03423844862194632,0.007595873626027367,0.02677754677754678,0.06886427065105862,0.32743582080119493
WindGustSpeed,0.023958978197012915,-3149482899554.782,0.020540540540540542,0.05956575797741019,0.2482702803811866
Temp3pm,0.022751650460887497,189102298937.67157,0.007484407484407485,0.05638089895606706,0.5147248392314845
MinTemp,0.02030906758723398,234988349372.53677,0.01471933471933472,0.054531644986312355,0.2902120049699015
Pressure9am,0.017186772567205005,0.00046035597733499193,0.011143451143451144,0.055648748998842534,0.31271492086227304
MaxTemp,0.017009034832648148,849214250529.8435,0.008981288981288981,0.057010117248833043,0.38414983350160603
Rainfall,0.016723082525660703,-1266173152418.685,0.009230769230769232,0.03973626494460861,0.6153774441639687
WindSpeed3pm,0.010891391408012367,-0.0013810679320049757,0.010311850311850312,0.03833219969775496,0.15969966213016096
Temp9am,0.010587861659719224,1344789649934.3628,0.006902286902286903,0.04464609584871115,0.4982655420599088
WindSpeed9am,0.00944693328723065,-1089476695120.4668,0.010228690228690229,0.031503523003767686,0.8653075017207177
RainToday,0.008229143100526866,-789413356626.5223,0.0022453222453222453,0.015599999256054625,0.49875970839765416
WindGustDir_NNE,0.005875562129111758,2297774619200.2163,0.006070686070686071,0.008013372079347176,0.2151444225262411
WindDir3pm_W,0.0056955459646667065,-0.005524271728019903,0.0013305613305613305,0.0059556278140435945,0.11881101972358954
WindDir3pm_NE,0.004227904726455017,-1101472203949.6497,0.0044906444906444905,0.005790402061811128,0.5702816438810293
WindDir3pm_N,0.0037093470917201146,0.0020428296494240266,0.0037422037422037424,0.007746122100599369,0.4005816210147566
WindGustDir_N,0.0031188305181288722,695095511100.191,0.002162162162162162,0.00543693611716886,0.5054444630237716
WindDir9am_ENE,0.003070787932284012,0.0033375808356786913,0.0031600831600831604,0.00572058895315608,0.3390852999525653
WindDir3pm_NNE,0.0029785612372073855,-695095511100.2094,0.002162162162162162,0.005401099736502938,0.19465530188771907
WindDir3pm_WSW,0.0029185546523796796,0.0035677588243461875,0.0002494802494802495,0.004207741072680823,0.39390371272860714
WindDir9am_NE,0.002726306493131763,1658278753908.0332,0.0017463617463617464,0.004740600613905198,0.19905788155244997
WindDir9am_SE,0.0024312676329178956,0.0029923138526774477,0.001081081081081081,0.005445709485652652,0.3330407053527672
WindGustDir_W,0.002106995920412684,-5.754449716687399e-05,0.0009147609147609148,0.006631129935562481,0.8471723653934679
WindDir9am_ESE,0.0020133074715584813,0.0016687904178393457,0.0007484407484407485,0.0045874878648727215,0.9389485669553754
WindDir3pm_SSE,0.001792525190801899,-0.0025319578753424557,0.0017463617463617464,0.004277849387482754,0.279720677623982
WindDir9am_W,0.001750730858114115,-0.00011508899433374798,8.316008316008316e-05,0.004842829371136296,0.5155057321472539
WindGustDir_WNW,0.0015417391043162647,-234988349372.53442,8.316008316008316e-05,0.0036498444809928278,0.4309277693475405
WindGustDir_NE,0.0014744058790521755,3149482899554.782,0.0016632016632016633,0.004809395632085395,0.9666866305524754
WindGustDir_ESE,0.0014716438949452877,0.004948826756351163,0.001995841995841996,0.002999372220542346,0.9452328040692373
WindDir9am_NNW,0.0014602474647131632,-0.004143203796014927,0.0,0.003506054356437736,0.5000779035706439
WindDir3pm_NNW,0.001426180214968831,0.005236549242185533,0.000498960498960499,0.003407085905098707,0.5532229266211517
WindGustDir_S,0.0014260787397660062,-1658278753908.0312,0.001496881496881497,0.0038321628917880957,0.4948942035251763
WindDir3pm_E,0.0013225915756741489,2335702792755.487,0.002328482328482329,0.002695920270806728,0.7275080633593919
WindDir3pm_SW,0.00129482113390161,-127452077279.02701,0.0,0.0017374569285469287,0.6803986401188608
WindDir9am_WSW,0.0012838118269393598,-0.00468987651910023,0.0004158004158004158,0.004718636184899432,0.613068121064678
WindDir9am_SSE,0.0011599621718892841,-789413356626.5178,0.0015800415800415802,0.003364290980937337,0.47374415039519
WindDir9am_E,0.0011263667607451333,317886800420.18866,0.0004158004158004158,0.002757944863185208,0.7948972283809458
WindGustDir_SE,0.0011199456491063238,-0.000489128225918429,0.0008316008316008316,0.0035335058827127975,0.8823394763682011
WindDir3pm_NW,0.0010845242747038219,-0.00851658558069735,0.000498960498960499,0.003539897595351127,0.07353174974284182
WindDir9am_SW,0.001083894133090433,-0.0025319578753424557,0.0015800415800415802,0.0034018441169048623,0.6062605224038041
WindDir9am_S,0.0010823250502454305,0.005294093739352407,0.0004158004158004158,0.003343712099142896,0.1370363735675204
WindDir3pm_WNW,0.001069286627311394,-0.0023593243838418336,0.0004158004158004158,0.004212650365363779,0.975082815413784
WindGustDir_NW,0.0010432962268503516,376660582264.3357,8.316008316008316e-05,0.0036251516981979227,0.05054040462789189
WindDir9am_WNW,0.001025994222706866,1344789649934.356,0.0004158004158004158,0.004553376753608536,0.32796584763652625
WindGustDir_ENE,0.0010008652929868365,127452077279.0462,0.00016632016632016632,0.0031521199491458614,0.023176298216351032
WindDir3pm_ENE,0.0010006394815285685,376660582264.3431,0.0,0.002042800621513073,0.7638567641619896
WindGustDir_SW,0.0009875463751457605,-0.0005754449716687399,0.0005821205821205822,0.0032667172840648542,0.536690749288927
WindDir3pm_SE,0.0009771271517133762,317886800420.1869,0.0002494802494802495,0.0030965650196009206,0.7644041147072396
WindGustDir_E,0.0009514685405172525,-849214250529.8368,0.0005821205821205822,0.003859664946961027,0.3085404820544293
WindDir3pm_ESE,0.0009115393485391302,-0.009897653512702326,0.0007484407484407485,0.0026908921981104728,0.365937352517563
WindDir9am_SSW,0.0008384464693267815,-397216560272.1459,0.0004158004158004158,0.002357533853848739,0.45698855928287396
WindDir9am_N,0.00082881751894282,692260134848.3232,0.000498960498960499,0.003213674699721543,0.7549651722927939
WindGustDir_SSE,0.0008027053142913,-0.0045316291518913265,0.0012474012474012475,0.002038086827043568,0.6542600368896171
