,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
alcohol,0.852683126862624,0.7116500369691167,0.9365595880339723,1.0,0.6762092050417972
malic_acid,0.9970133525492398,1.0,0.49015328492611904,0.8988252663187887,0.545400371570153
ash,0.566695500413144,0.3710245182423362,0.599880118958807,0.5650675526643173,0.705015920962573
alcalinity_of_ash,0.2974426931478885,0.13798125778513093,0.5631996183314165,0.39115496956902207,0.7707308652030906
magnesium,0.24388352950482664,0.10903766886266725,0.35030584276846793,0.32658356983422404,0.572621508814904
total_phenols,0.23361060462134714,0.023915813505224003,0.432746326932863,0.23568641691519443,0.5889105576225131
flavanoids,0.1072321711144036,0.021831149362310898,0.18430483590314473,0.182256748565869,0.495782150190719
nonflavanoid_phenols,0.07033005750105074,0.00762582564758165,0.13678709074521603,0.12839970191154837,0.8329165493361892
proanthocyanins,0.022558463211680528,-0.009963892186406113,0.22472978668669463,0.10001415610479994,0.6195573696123335
color_intensity,0.07254222934262772,0.0001055839649347092,0.21254152144344957,0.09282016049844267,0.7364838475801812
hue,0.02709035037580643,0.008749200986211306,0.31595358571209764,0.06708056565633268,0.7786286428566473
od280/od315_of_diluted_wines,0.049198677105437336,-0.00035765379113018603,0.12566897460043608,0.02780423828142051,0.7707679593851311
proline,0.006116995765773679,0.0,0.053591158003752415,0.013166692773988926,0.5899127886749247
