feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
flavanoids,0.204784185142201,0.12155388471177941,0.7939849624060151,0.4158936651583709,0.17887857894361558
color_intensity,0.2036017943607439,0.10025062656641603,0.20902255639097742,0.40331707202111616,0.20193200470915762
proline,0.1284206529189807,0.09565580618212195,0.27518796992481204,0.1384566370021822,0.6917174283309014
malic_acid,0.013826579306039796,-0.025480367585630753,0.010526315789473684,0.01998197115384615,0.9378424576992394
ash,0.008928805309279178,0.013366750208855463,0.015037593984962405,0.022350654664484465,0.6961141418397956
alcohol,0.0,0.0054302422723475395,0.0,0.0,0.7787311418760398
alcalinity_of_ash,0.0,0.007518796992481216,0.0,0.0,0.13530667419036257
magnesium,0.0,0.0037593984962406017,0.0,0.0,0.4135593050976166
total_phenols,0.0,-0.02130325814536337,0.0,0.0,0.45088585484707433
nonflavanoid_phenols,0.0,-0.010025062656641593,0.0,0.0,0.590315475289654
proanthocyanins,0.0,-0.0075187969924811965,0.0,0.0,0.7126343913063027
hue,0.0,0.010025062656641645,0.0,0.0,0.4546832076473508
od280/od315_of_diluted_wines,0.0,0.021303258145363425,0.0,0.0,0.25008229407723825
