feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,1.2835785824357633,0.10279340511392342,0.2345864661654135,0.7246970232560269,0.04891879994302972
proline,1.1951148696741596,0.10366208035315531,0.37744360902255636,0.004715396654776429,0.03672105182241203
alcalinity_of_ash,0.4365896386431558,0.026880650392215436,0.024060150375939848,0.16424572773200316,0.6001021042955892
flavanoids,0.40450290871722694,0.03967422347384205,0.015037593984962405,0.4680330582773215,0.6197660388695853
malic_acid,0.3059486624782486,0.005845945718878692,0.010526315789473684,0.33747381864323556,0.41015136571135635
od280/od315_of_diluted_wines,0.2605904490644302,0.007382652123152707,-0.006015037593984962,0.4128964704023019,0.6532768782155203
magnesium,0.19730393575460464,0.0006853154494428937,0.009022556390977442,0.017220650908191647,0.24471317143863336
total_phenols,0.13173386559245595,-0.007382652123152732,-0.006015037593984962,0.2375769597022289,0.5473416095831464
alcohol,0.10738932317432466,-0.000685315449442905,-0.012030075187969924,0.15417984127825338,0.4757119898031539
proanthocyanins,0.09659744246987434,0.0033344386014106855,-0.0015037593984962405,0.21831666741405228,0.8252525047036826
hue,0.02392009069640202,0.006294647951211406,-0.003007518796992481,0.1253599676257993,0.14825616817969034
ash,0.019180302390665722,-0.00584594571887868,-0.0015037593984962405,0.09189111342518984,0.07940491736841615
nonflavanoid_phenols,0.0006267293900373273,-0.011455384927020388,0.0,0.0058664057087969386,0.5575486482688887
