feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,0.08287459274260371,0.05629908103592316,0.016541353383458645,0.1565418081080645,0.2448250738626344
flavanoids,0.07967194267569838,0.054110275689223074,0.012030075187969924,0.17351912576764097,0.1415568287914828
proline,0.07870307835360037,0.020430242272347552,0.009022556390977442,0.16798253149671397,0.3387388925297342
od280/od315_of_diluted_wines,0.07724261345305433,0.03592314118629913,0.006015037593984962,0.14765747156231626,0.6132628835159771
alcohol,0.06535161808972473,0.04493734335839597,0.007518796992481203,0.132846901721129,0.01525671749039026
hue,0.03391812069800936,0.02233082706766917,0.0,0.06527764018260195,0.07124287122024264
total_phenols,0.028799531227700872,0.013203842940685053,0.0,0.0502593092260543,0.31848491185197303
alcalinity_of_ash,0.014735831167187057,0.003111946532999168,0.0,0.03440951701229475,0.20657737957335043
proanthocyanins,0.009819632009167845,0.013203842940685032,0.0,0.02170055693656696,0.28326769600870416
magnesium,0.00795719679325245,0.002974101921470301,0.0,0.016565840454368933,0.35031813792411726
malic_acid,0.006482460124147821,-0.00311194653299914,0.0,0.017985195958570704,0.6229449626775515
ash,0.004542176407337067,5.012531328320994e-05,0.0,0.008768323960484537,0.514060661959464
nonflavanoid_phenols,0.0029840559224217815,-0.020430242272347538,0.0,0.006485777613193222,0.7043536961376878
