feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
color_intensity,0.7925674605702261,0.06762744068933994,0.11278195488721802,0.4474765217061227,0.5161266830947985
proline,0.6610122637679874,0.06840212545684667,0.21654135338345865,0.0026080631213195224,0.29117936223412955
flavanoids,0.5112717707678649,0.04635250229354491,0.1533834586466165,0.5915707534519256,0.3956111966358917
alcohol,0.3394275885336596,0.03441184332933837,0.02706766917293233,0.4873193179607644,0.5206490912237487
alcalinity_of_ash,0.2805749732614344,0.015148982988056772,0.031578947368421054,0.10555275844367322,0.042415916009097776
od280/od315_of_diluted_wines,0.2741661068203131,0.025131791508761537,0.018045112781954885,0.43440662624614773,0.04929544918127604
malic_acid,0.24484867400555813,0.0017443084991616252,0.012030075187969924,0.27007804622209475,0.45160959256366207
magnesium,0.17409035194847822,-0.0013006625120230884,0.010526315789473684,0.015194573620252783,0.9958363715240481
proanthocyanins,0.14028757367367214,0.001300662512023093,0.0,0.317059280048652,0.5577009498134095
total_phenols,0.13897158156649717,0.010027579985325403,0.004511278195488721,0.2506299020763684,0.5187026525875117
ash,0.12051592037499145,0.006794241819706087,0.007518796992481203,0.577380996563898,0.8270101016593498
hue,0.035337999587723136,0.002024320707186639,0.0,0.18519873275162055,0.6306485530927204
nonflavanoid_phenols,0.00957300764904738,-0.0009399820082296903,0.0,0.08960669088676947,0.7351700815502674
